sampleID	Annotation	Species	sample	number	genome	tissue	path
sito_BA_P2_veg	sito_BA	sito_BA	P2	163	5940	veg	bamfiles/sito_BA/Sito-aaP2_163_vs.5940_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
sito_BA_P2_sex	sito_BA	sito_BA	P2	163	5940	sex	bamfiles/sito_BA/Sito-aaP2-sex_163_vs.5940_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
sito_BA_P3_veg	sito_BA	sito_BA	P3	163	5940	veg	bamfiles/sito_BA/Sito-aaP3_163_vs.5940_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
sito_BA_P3_sex	sito_BA	sito_BA	P3	163	5940	sex	bamfiles/sito_BA/Sito-aaP3-sex_163_vs.5940_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
sito_sa_P1_veg	sito_sa	sito_sa	P1	163	5941	veg	bamfiles/sito_sa/Sito-aP1_163_vs.5941_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
sito_sa_P1_sex	sito_sa	sito_sa	P1	163	5941	sex	bamfiles/sito_sa/Sito-aP1-sex_163_vs.5941_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
sito_sa_P2_veg	sito_sa	sito_sa	P2	163	5941	veg	bamfiles/sito_sa/Sito-aP2_163_vs.5941_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
sito_sa_P2_sex	sito_sa	sito_sa	P2	163	5941	sex	bamfiles/sito_sa/Sito-aP2-sex_163_vs.5941_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
sito_sa_P3_veg	sito_sa	sito_sa	P3	163	5941	veg	bamfiles/sito_sa/Sito-aP3_163_vs.5941_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
sito_sa_P3_sex	sito_sa	sito_sa	P3	163	5941	sex	bamfiles/sito_sa/Sito-aP3-sex_163_vs.5941_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
